m_07_024_4	Formentera	i_71	Formentera
m_07_026_0	Eivissa	i_72	Ibiza
m_07_046_6	Sant Antoni de Portmany	i_72	Ibiza
m_07_048_8	Sant Josep de sa Talaia	i_72	Ibiza
m_07_050_4	Sant Joan de Labritja	i_72	Ibiza
m_07_054_7	Santa Eulalia del Río	i_72	Ibiza
m_07_001_2	Alaró	i_73	Mallorca
m_07_003_3	Alcúdia	i_73	Mallorca
m_07_004_8	Algaida	i_73	Mallorca
m_07_005_1	Andratx	i_73	Mallorca
m_07_006_4	Artà	i_73	Mallorca
m_07_007_0	Banyalbufar	i_73	Mallorca
m_07_008_6	Binissalem	i_73	Mallorca
m_07_009_9	Búger	i_73	Mallorca
m_07_010_3	Bunyola	i_73	Mallorca
m_07_011_0	Calvià	i_73	Mallorca
m_07_012_5	Campanet	i_73	Mallorca
m_07_013_1	Campos	i_73	Mallorca
m_07_014_6	Capdepera	i_73	Mallorca
m_07_016_2	Consell	i_73	Mallorca
m_07_017_8	Costitx	i_73	Mallorca
m_07_018_4	Deià	i_73	Mallorca
m_07_019_7	Escorca	i_73	Mallorca
m_07_020_1	Esporles	i_73	Mallorca
m_07_021_8	Estellencs	i_73	Mallorca
m_07_022_3	Felanitx	i_73	Mallorca
m_07_025_7	Fornalutx	i_73	Mallorca
m_07_027_6	Inca	i_73	Mallorca
m_07_028_2	Lloret de Vistalegre	i_73	Mallorca
m_07_029_5	Lloseta	i_73	Mallorca
m_07_030_9	Llubí	i_73	Mallorca
m_07_031_6	Llucmajor	i_73	Mallorca
m_07_033_7	Manacor	i_73	Mallorca
m_07_034_2	Mancor de la Vall	i_73	Mallorca
m_07_035_5	Maria de la Salut	i_73	Mallorca
m_07_036_8	Marratxí	i_73	Mallorca
m_07_038_0	Montuïri	i_73	Mallorca
m_07_039_3	Muro	i_73	Mallorca
m_07_040_7	Palma de Mallorca	i_73	Mallorca
m_07_041_4	Petra	i_73	Mallorca
m_07_042_9	Pollença	i_73	Mallorca
m_07_043_5	Porreres	i_73	Mallorca
m_07_044_0	Sa Pobla	i_73	Mallorca
m_07_045_3	Puigpunyent	i_73	Mallorca
m_07_047_2	Sencelles	i_73	Mallorca
m_07_049_1	Sant Joan	i_73	Mallorca
m_07_051_1	Sant Llorenç des Cardassar	i_73	Mallorca
m_07_053_2	Santa Eugènia	i_73	Mallorca
m_07_055_0	Santa Margalida	i_73	Mallorca
m_07_056_3	Santa María del Camí	i_73	Mallorca
m_07_057_9	Santanyí	i_73	Mallorca
m_07_058_5	Selva	i_73	Mallorca
m_07_059_8	Ses Salines	i_73	Mallorca
m_07_060_2	Sineu	i_73	Mallorca
m_07_061_9	Sóller	i_73	Mallorca
m_07_062_4	Son Servera	i_73	Mallorca
m_07_063_0	Valldemossa	i_73	Mallorca
m_07_065_8	Vilafranca de Bonany	i_73	Mallorca
m_07_901_3	Ariany	i_73	Mallorca
m_07_002_7	Alaior	i_74	Menorca
m_07_015_9	Ciutadella de Menorca	i_74	Menorca
m_07_023_9	Ferreries	i_74	Menorca
m_07_032_1	Maó-Mahón	i_74	Menorca
m_07_037_4	Es Mercadal	i_74	Menorca
m_07_052_6	Sant Lluís	i_74	Menorca
m_07_064_5	Es Castell	i_74	Menorca
m_07_902_8	Es Migjorn Gran	i_74	Menorca
m_38_013_1	Frontera	i_382	El Hierro
m_38_048_8	Valverde	i_382	El Hierro
m_38_901_3	El Pinar de El Hierro	i_382	El Hierro
m_35_003_8	Antigua	i_351	Fuerteventura
m_35_007_5	Betancuria	i_351	Fuerteventura
m_35_014_1	La Oliva	i_351	Fuerteventura
m_35_015_4	Pájara	i_351	Fuerteventura
m_35_017_3	Puerto del Rosario	i_351	Fuerteventura
m_35_030_4	Tuineje	i_351	Fuerteventura
m_35_001_7	Agaete	i_352	Gran Canaria
m_35_002_2	Agüimes	i_352	Gran Canaria
m_35_005_6	Artenara	i_352	Gran Canaria
m_35_006_9	Arucas	i_352	Gran Canaria
m_35_008_1	Firgas	i_352	Gran Canaria
m_35_009_4	Gáldar	i_352	Gran Canaria
m_35_011_5	Ingenio	i_352	Gran Canaria
m_35_012_0	Mogán	i_352	Gran Canaria
m_35_013_6	Moya	i_352	Gran Canaria
m_35_016_7	Las Palmas de Gran Canaria	i_352	Gran Canaria
m_35_019_2	San Bartolomé de Tirajana	i_352	Gran Canaria
m_35_020_6	La Aldea de San Nicolás	i_352	Gran Canaria
m_35_021_3	Santa Brígida	i_352	Gran Canaria
m_35_022_8	Santa Lucía de Tirajana	i_352	Gran Canaria
m_35_023_4	Santa María de Guía de Gran Canaria	i_352	Gran Canaria
m_35_025_2	Tejeda	i_352	Gran Canaria
m_35_026_5	Telde	i_352	Gran Canaria
m_35_027_1	Teror	i_352	Gran Canaria
m_35_031_1	Valsequillo de Gran Canaria	i_352	Gran Canaria
m_35_032_6	Valleseco	i_352	Gran Canaria
m_35_033_2	Vega de San Mateo	i_352	Gran Canaria
m_38_002_7	Agulo	i_381	La Gomera
m_38_003_3	Alajeró	i_381	La Gomera
m_38_021_8	Hermigua	i_381	La Gomera
m_38_036_8	San Sebastián de la Gomera	i_381	La Gomera
m_38_049_1	Valle Gran Rey	i_381	La Gomera
m_38_050_4	Vallehermoso	i_381	La Gomera
m_38_007_0	Barlovento	i_383	La Palma
m_38_008_6	Breña Alta	i_383	La Palma
m_38_009_9	Breña Baja	i_383	La Palma
m_38_014_6	Fuencaliente de la Palma	i_383	La Palma
m_38_016_2	Garafía	i_383	La Palma
m_38_024_4	Los Llanos de Aridane	i_383	La Palma
m_38_027_6	El Paso	i_383	La Palma
m_38_029_5	Puntagorda	i_383	La Palma
m_38_030_9	Puntallana	i_383	La Palma
m_38_033_7	San Andrés y Sauces	i_383	La Palma
m_38_037_4	Santa Cruz de la Palma	i_383	La Palma
m_38_045_3	Tazacorte	i_383	La Palma
m_38_047_2	Tijarafe	i_383	La Palma
m_38_053_2	Villa de Mazo	i_383	La Palma
m_35_004_3	Arrecife	i_353	Lanzarote
m_35_010_8	Haría	i_353	Lanzarote
m_35_018_9	San Bartolomé	i_353	Lanzarote
m_35_024_9	Teguise	i_353	Lanzarote
m_35_028_7	Tías	i_353	Lanzarote
m_35_029_0	Tinajo	i_353	Lanzarote
m_35_034_7	Yaiza	i_353	Lanzarote
m_38_001_2	Adeje	i_384	Tenerife
m_38_004_8	Arafo	i_384	Tenerife
m_38_005_1	Arico	i_384	Tenerife
m_38_006_4	Arona	i_384	Tenerife
m_38_010_3	Buenavista del Norte	i_384	Tenerife
m_38_011_0	Candelaria	i_384	Tenerife
m_38_012_5	Fasnia	i_384	Tenerife
m_38_015_9	Garachico	i_384	Tenerife
m_38_017_8	Granadilla de Abona	i_384	Tenerife
m_38_018_4	La Guancha	i_384	Tenerife
m_38_019_7	Guía de Isora	i_384	Tenerife
m_38_020_1	Güímar	i_384	Tenerife
m_38_022_3	Icod de los Vinos	i_384	Tenerife
m_38_023_9	San Cristóbal de La Laguna	i_384	Tenerife
m_38_025_7	La Matanza de Acentejo	i_384	Tenerife
m_38_026_0	La Orotava	i_384	Tenerife
m_38_028_2	Puerto de la Cruz	i_384	Tenerife
m_38_031_6	Los Realejos	i_384	Tenerife
m_38_032_1	El Rosario	i_384	Tenerife
m_38_034_2	San Juan de la Rambla	i_384	Tenerife
m_38_035_5	San Miguel de Abona	i_384	Tenerife
m_38_038_0	Santa Cruz de Tenerife	i_384	Tenerife
m_38_039_3	Santa Úrsula	i_384	Tenerife
m_38_040_7	Santiago del Teide	i_384	Tenerife
m_38_041_4	El Sauzal	i_384	Tenerife
m_38_042_9	Los Silos	i_384	Tenerife
m_38_043_5	Tacoronte	i_384	Tenerife
m_38_044_0	El Tanque	i_384	Tenerife
m_38_046_6	Tegueste	i_384	Tenerife
m_38_051_1	La Victoria de Acentejo	i_384	Tenerife
m_38_052_6	Vilaflor	i_384	Tenerife